#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Protein O-GlcNAcase	Ogoga, hyaluronoglucosaminidase
Smp_069160.1	Peptidyl-prolyl cis-trans isomerase 1	Cyclophilin
Smp_069170.1	Zinc transporter 1	Cation efflux family protein
Smp_069220.1	Protein DGCR14 homolog	Dynactin subunit 6
Smp_069240.1	Potassium voltage-gated channel protein Shaker	Paddle chimera voltage gated potassium channel KV
Smp_069240.2	Potassium voltage-gated channel subfamily A member 2	Paddle chimera voltage gated potassium channel KV
Smp_069380.1	Histone deacetylase 5	HD7A, histone deacetylase 7A
Smp_069380.2	Histone deacetylase 5	HD7A, histone deacetylase 7A
Smp_069380.3	Histone deacetylase 5	HD7A, histone deacetylase 7A
Smp_069400.1	Regulator of G-protein signaling 3	RGS17, regulator of G-protein signaling 17
Smp_069600.1	ATP-dependent DNA helicase Q4	ATP-dependent DNA helicase Q1
Smp_069600.2	ATP-dependent DNA helicase Q4	ATP-dependent DNA helicase Q1
Smp_069720.1	Protocadherin gamma-A10	Cadherin-2
Smp_069760.1	Armadillo repeat-containing protein 1	Copper-transporting ATPase
Smp_069770.1	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	NADH-quinone oxidoreductase subunit 2
Smp_069770.2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	NADH-quinone oxidoreductase subunit 2
Smp_069810.1	E3 ubiquitin-protein ligase TM129	Cellular modulator of immune recognition
Smp_069820.1	Hypothetical protein	Syntaxin-6
Smp_069840.1	Ankyrin repeat domain-containing protein 49	Myotrophin, protein V-1
Smp_069870.1	U1 small nuclear ribonucleoprotein A	U1-A
Smp_069880.1	U2 small nuclear ribonucleoprotein B''	U1-A
Smp_069890.1	UPF0193 protein EVG1 homolog	30S ribosomal protein S16
Smp_069900.1	Ras-related protein Rab-39A	GTP-binding protein YPT31/YPT8
Smp_069910.1	28S ribosomal protein S35, mitochondrial	Protein capicua homolog
Smp_069960.1	Ubiquitin carboxyl-terminal hydrolase 5	Ubiquitin carboxyl-terminal hydrolase 5
Smp_070020.1	Hypothetical protein	VP9, bannavirus VP9
Smp_070030.1	Charged multivesicular body protein 2b	Charged multivesicular BODY protein 3
Smp_070100.1	Envelope glycoprotein B	Kinetochore-associated protein NSL1 homolog
Smp_070110.1	Probable 39S ribosomal protein L45, mitochondrial	MRPL45
Smp_070110.2	Probable 39S ribosomal protein L45, mitochondrial	MRPL45
Smp_070130.1	Bud site selection protein 20	Zinc finger protein 593
Smp_070170.1	Histone-lysine N-methyltransferase 2C	Histone-lysine N-methyltransferase HRX
Smp_070190.1	histone acetyltransferase GCN5	General control of amino acid synthesis protein 5
Smp_070200.1	RNA-binding protein with serine-rich domain 1	RNA-binding protein with serine-rich domain 1
Smp_070250.1	venom allergen (val) protein	Venom allergen-like (Val) 4 protein
Smp_070310.1	Ecotropic viral integration site 5 ortholog	Rabgap1L, RAB GTPase-activating protein 1-like
Smp_070330.1	FUN14 domain-containing protein 1B	PPO, PPOX, protoporphyrinogen oxidase
Smp_070330.2	FUN14 domain-containing protein 1B	PPO, PPOX, protoporphyrinogen oxidase
Smp_070340.1	Probable histone-arginine methyltransferase 1.4	Histone-arginine methyltransferase CARM1
Smp_070360.1	Cytoplasmic polyadenylation element-binding protein 1	Cytoplasmic polyadenylation element-binding prote
Smp_070370.1	Nck-associated protein 1	Inner capsid protein VP2
Smp_070380.1	Autoinducer 1 sensor kinase/phosphatase LuxN	Claudin-15
Smp_070540.1	Hypothetical protein	Disabled homolog 2
Smp_070600.1	Transaldolase	Transaldolase
Smp_070610.1	MOB kinase activator 1B	MOB kinase activator 1A
Smp_070640.1	Protein unc-112	Fermitin family homolog 2
Smp_070680.1	Repressor of RNA polymerase III transcription MAF1 homolog	MAF1, repressor of RNA polymerase III transcription MAF
Smp_070680.2	Repressor of RNA polymerase III transcription MAF1 homolog	MAF1, repressor of RNA polymerase III transcription MAF
Smp_070710.1	dimethylallyltransferase (farnesyl pyrophosphate synthase, geranyltranstransferase)	Farnesyl pyrophosphate synthetase
Smp_070760.1	YEATS domain-containing protein 4	YAF9, protein AF-9 homolog
Smp_070770.1	Ubiquitin-fold modifier-conjugating enzyme 1	UFM1-conjugating enzyme 1
Smp_070780.1	UDP-glucose 4-epimerase	UDP-galactose 4-epimerase
Smp_070860.1	Putative malate dehydrogenase 1B	Malate dehydrogenase
Smp_070860.2	Putative malate dehydrogenase 1B	Malate dehydrogenase
Smp_070930.1	Proteasome subunit alpha type-4	20S proteasome
Smp_071000.1	26S proteasome complex subunit SEM1	26S proteasome complex subunit DSS1
Smp_071020.1	Choline/ethanolaminephosphotransferase 1	CTP L-MYO-inositol-1-phosphate cytidylyltransfera MYO-inositol MYO-inositolphosphotransferase...
Smp_071050.1	Antho-RFamide neuropeptides type 2	CSTF-50, isoform B
Smp_071140.1	Protein hu-li tai shao	Class II aldolase/adducin domain protein
Smp_071150.1	Formin-binding protein 1-like	Formin-binding protein 1
Smp_071250.1	Ras-related protein Rap-1b	GTP-binding protein GEM
Smp_071380.1	E3 ubiquitin-protein ligase RNF167	ERAD-associated E3 ubiquitin-protein ligase DOA10
Smp_071390.1	adenylate kinase	Adenylate kinase 1
Smp_071470.1	interferon regulatory factor 4	Interferon regulatory factor 4
Smp_071470.2	Interferon regulatory factor 5	IRF-3, interferon regulatory factor 3
Smp_071540.1	Shikimate dehydrogenase (NADP(+))	Teashirt homolog 3
Smp_071550.1	Vacuolar protein sorting-associated protein 16B	Putative vacuolar protein sorting-associated PROT
Smp_071550.2	Vacuolar protein sorting-associated protein 16B	Putative vacuolar protein sorting-associated PROT
Smp_071550.3	Vacuolar protein sorting-associated protein 16B	Putative vacuolar protein sorting-associated PROT
Smp_071560.1	Transmembrane protein 147	V-SET domain-containing T-cell activation inhibit
Smp_071570.1	Transcription factor IIIB 90 kDa subunit	Transcription factor IIIB BRF1 subunit
Smp_071570.2	Transcription factor IIIB 90 kDa subunit	Transcription initiation factor IIB
Smp_071590.1	ADP-ribosylation factor-like protein 6-interacting protein 1	Neurogenic locus notch protein
Smp_071610.1	Dipeptidyl peptidase 2	Lysosomal Pro-X carboxypeptidase
Smp_071630.1	rab-2,4,14, putative	GTP-binding protein YPT31/YPT8
Smp_071640.1	RNA-binding protein 1	Nuclear polyadenylated RNA-binding protein 3
Smp_071640.2	arginine:serine rich splicing factor	Serine/arginine-rich splicing factor 1
Smp_071770.1	RNA exonuclease 1 homolog	PAB-dependent poly(A)-specific ribonuclease subun
Smp_071830.1	Transcription initiation factor IIA subunit 2	Transcription initiation factor IIA gamma chain
Smp_071830.2	Transcription initiation factor IIA subunit 2	Transcription initiation factor IIA gamma chain
Smp_071880.1	SAGA-associated factor 29	SAGA-associated factor 29 homolog
Smp_071880.2	SAGA-associated factor 29	SAGA-associated factor 29 homolog
Smp_071880.3	SAGA-associated factor 29	SAGA-associated factor 29 homolog
Smp_071880.4	SAGA-associated factor 29	SAGA-associated factor 29 homolog
Smp_071880.5	SAGA-associated factor 29	SAGA-associated factor 29 homolog
Smp_071880.6	SAGA-associated factor 29	SAGA-associated factor 29 homolog
Smp_071890.1	E3 ubiquitin-protein ligase TRAIP	262 2nyt_A Probable C->U-editing e  26.2      24 0.00071   31.7   0.0   33   32-64     81-123 (190)
Smp_071950.1	Tetratricopeptide repeat protein 7B	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110
Smp_071960.1	UPF0568 protein C14orf166	Micasin
Smp_071960.2	UPF0568 protein C14orf166 homolog	Micasin
Smp_072080.1	6-pyruvoyl tetrahydrobiopterin synthase	6-pyruvoyl tetrahydropterin synthase
Smp_072090.1	Probable malonyl-CoA-acyl carrier protein transacylase, mitochondrial	Malonyl COA-acyl carrier protein transacylase
Smp_072100.1	CCR4-NOT transcription complex subunit 1	General negative regulator of transcription subun
Smp_072110.1	Programmed cell death protein 4	Programmed cell death protein 4
Smp_072140.1	Rho2 GTPase	H6, RHO-related GTP-binding protein RHOB
Smp_072180.1	Apoptosis regulator R11	SJA, sjchgc06286 protein
Smp_072190.1	Long neurotoxin 1	Urokinase plasminogen activator surface receptor
Smp_072190.2	Long neurotoxin 1	Denmotoxin
Smp_072210.1	Zinc finger protein 395	SAV_2001
Smp_072320.1	Heat shock 70 kDa protein homolog	Heat shock protein homolog SSE1
Smp_072330.1	Heat shock protein 83	ATP-dependent molecular chaperone HSP82
Smp_072340.1	26S proteasome subunit RPT3	26S protease regulatory subunit 6B homolog
Smp_072350.1	Serine/threonine-protein phosphatase 4 regulatory subunit 3	ABR034WP
Smp_072360.1	A-kinase anchor protein 17A	Heterogeneous nuclear ribonucleoprotein A/B
Smp_072360.2	A-kinase anchor protein 17A	Heterogeneous nuclear ribonucleoprotein A/B
Smp_072360.3	Zinc finger protein 318	Nuclear transcription factor RELA
Smp_072370.1	RNA polymerase-associated protein CTR9 homolog	SKI3, superkiller protein 3
Smp_072380.1	Elongin-B	Transcription elongation factor B polypeptide 2
Smp_072380.2	Elongin-B	Transcription elongation factor B polypeptide 2
Smp_072440.1	G patch domain-containing protein 1	GLPE protein, thiosulfate sulfurtransferase GLPE
Smp_072450.1	Apelin receptor A	Rhodopsin
Smp_072460.1	phosphomevalonate kinase	137 3vow_A Probable DNA DC->DU-edi  28.8      20  0.0006   28.5   0.0   45  137-181   121-166 (190)
Smp_072470.1	Neurogenic differentiation factor 1	Transcription factor E2-alpha
Smp_072490.1	Ubiquitin-associated protein 1	ATGRXC5, glutaredoxin-C5, chloroplastic
Smp_072500.1	LisH domain and HEAT repeat-containing protein KIAA1468 homolog	Cytochrome C'
Smp_072500.2	LisH domain and HEAT repeat-containing protein KIAA1468 homolog	Cytochrome C'
Smp_072500.3	Hypothetical protein	Proto-oncogene tyrosine-protein kinase LCK
Smp_072560.1	Inner centromere protein	Incenp, inner centromere protein
Smp_072630.1	Tegument antigen	Dynein light chain motor protein
Smp_072640.1	Stomatin-like protein 2	PH stomatin
Smp_072660.1	Ras GTPase-activating protein 1	V-CRK sarcoma virus CT10 oncogene homolog, isoform A
Smp_072670.1	Probable capsid protein	Toluene-4-monooxygenase system protein C
Smp_072720.1	AN1-type zinc finger protein 6	Riken cDNA 2810002D23 protein
Smp_072740.1	Glutathione gamma-glutamylcysteinyltransferase 3	ALR0975 protein
Smp_072740.2	Glutathione gamma-glutamylcysteinyltransferase 3	ALR0975 protein
Smp_072790.1	GPN-loop GTPase 1	ATP(GTP)binding protein
Smp_072800.1	DNA-directed RNA polymerase I subunit RPA12	DNA-directed RNA polymerases I and III subunit RP
Smp_072870.1	Alpha-centractin	Actin-like protein ARP8
Smp_072890.1	Zinc finger protein 609	Zinc finger protein 406
Smp_072890.2	Zinc finger protein 609	Zinc finger protein 406
Smp_072900.1	Protein wos2	Uncharacterized protein AT3G03773
Smp_072950.1	Transmembrane emp24 domain-containing protein eca	Pyrogallol hydroxytransferase small subunit
Smp_072970.1	Tetratricopeptide repeat protein 1	AH receptor-interacting protein
Smp_072980.1	Eukaryotic elongation factor 2 kinase	MHCK-A, myosin heavy chain kinase A
Smp_072990.1	Transmembrane protein 185B	Ubiquitin-like modifier-activating enzyme ATG7
Smp_073070.1	Palmitoyltransferase ZDHHC5	Blue-light photoreceptor, sensor protein FIXL
Smp_073080.1	RNA-binding protein PNO1	KRR1 small subunit processome component
Smp_073140.1	Protein FAM177A1	Transcription factor TAU subunit SFC1
Smp_073200.1	Protein HGH1 homolog	Uncharacterized protein
Smp_073200.2	Protein HGH1 homolog	Uncharacterized protein
Smp_073210.1	Arfaptin-1	Arfaptin 2, partner of RAC1
Smp_073220.1	Exostosin-3	Alpha-1,4-N-acetylhexosaminyltransferase EXTL2
Smp_073270.1	Neuroendocrine protein 7B2	FABZ, (3R)-hydroxymyristoyl-acyl carrier protein dehydratase
Smp_073280.1	Myelin proteolipid protein	Syntaxin-1A
Smp_073280.2	Hypothetical protein	Transcription factor COE1
Smp_073280.3	Myelin proteolipid protein	Receptor tyrosine-protein kinase ERBB-2
Smp_073290.1	Serine/threonine-protein phosphatase 4 regulatory subunit 2-A	Z-DNA-binding protein 1
Smp_073300.1	Peroxisomal acyl-coenzyme A oxidase 1	DNA double-strand break repair RAD50 ATPase
Smp_073340.1	Cyclin-dependent-like kinase 5	Cyclin-dependent kinase 5
Smp_073390.1	Alpha- and gamma-adaptin-binding protein p34	Increased recombination centers protein 6
Smp_073390.2	Alpha- and gamma-adaptin-binding protein p34	Increased recombination centers protein 6
Smp_073390.3	Alpha- and gamma-adaptin-binding protein p34	Increased recombination centers protein 6
Smp_073400.1	Lysosome-associated membrane glycoprotein 1	Lysosome-associated membrane glycoprotein 3
Smp_073410.1	Proteasome subunit beta type-7	Proteasome component PUP1
Smp_073470.1	Retinoid X receptor RXR-2	Liver X nuclear receptor beta
Smp_073490.1	Dual specificity mitogen-activated protein kinase kinase 6	Dual specificity mitogen-activated protein kinase kinase 7
Smp_073500.1	Elongation factor Tu, mitochondrial	Elongation factor TU (EF-TU)
Smp_073510.1	Dual specificity mitogen-activated protein kinase kinase 6	Dual specificity mitogen-activated protein kinase
Smp_073510.2	Dual specificity mitogen-activated protein kinase kinase 6	Dual specificity mitogen-activated protein kinase
Smp_073540.1	Prefoldin subunit 5	Protein (prefoldin)
Smp_073560.1	Target of rapamycin complex subunit LST8	Target of rapamycin complex subunit LST8
Smp_073570.1	DNA-directed RNA polymerases I, II, and III subunit RPABC2	DNA-directed RNA polymerases I, II, and III subunit rpabc2
Smp_073590.1	GTP-binding protein SAR1b	SAR1
Smp_073600.1	Platelet-activating factor acetylhydrolase IB subunit beta	PAF-AH, platelet-activating factor acetylhydrolase IB gamma subunit
Smp_073610.1	Mediator of RNA polymerase II transcription subunit 17	Mediator of RNA polymerase II transcription subun
Smp_073620.1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	Endothelial-monocyte activating polypeptide II
Smp_073680.1	TATA-box-binding protein	Protein (tata binding protein (TBP))
Smp_073680.2	TATA-box-binding protein	Protein (tata binding protein (TBP))
Smp_073690.1	28S ribosomal protein S34, mitochondrial	Histidine triad (HIT) protein
Smp_073720.1	Actin-related protein 2/3 complex subunit 5-like protein	P16, ARP2/3 complex 16 kDa subunit, P16-ARC
Smp_073790.1	Gamma-aminobutyric acid receptor-associated protein	GATE-16, golgi-associated ATPase enhancer of 16 KD
Smp_073800.1	RecQ-mediated genome instability protein 1	RECQ-mediated genome instability protein 1
Smp_073830.1	Integrator complex subunit 11	Cleavage and polyadenylation specificity factor 73 kDa subunit
Smp_073880.1	40S ribosomal protein S3a	C3 protein, 40S ribosomal protein S3A
Smp_073920.1	Sodium/potassium-transporting ATPase subunit beta-1	Sodium/potassium-transporting ATPase subunit beta
Smp_073940.1	Actin-interacting protein 1	Actin interacting protein 1
Smp_074000.1	Serine protease HtrA-like	Mitochondrial import inner membrane translocase S TIM8
Smp_074010.1	N-glycosylase/DNA lyase	N-glycosylase/DNA lyase
Smp_074020.1	AP-2 complex subunit alpha	Adaptor protein complex AP-2, alpha 2 subunit
Smp_074040.1	Zinc finger protein 878	Wilms tumor 1
Smp_074050.1	Scm-like with four MBT domains protein 2	MBTD1, MBT domain-containing protein 1
Smp_074070.1	DNA repair protein XRCC1	DNA repair protein XRCC1
Smp_074080.1	Serine/threonine-protein kinase NLK2	Phosphotransferase
Smp_074140.1	Annexin A8-like protein 1	Annexin A8
Smp_074150.1	annexin	Annexin A5, annexin V, lipocortin V, endonexin II
Smp_074190.1	Natterin-4	Non-toxic crystal protein
Smp_074200.1	Ubiquitin carboxyl-terminal hydrolase 16	Ubiquitin carboxyl-terminal hydrolase 4
Smp_074210.1	28S ribosomal protein S15, mitochondrial	28S ribosomal protein S15, mitochondrial, 28S ribosomal protein S14, mitochondrial
Smp_074230.1	DNA-directed RNA polymerase II subunit RPB4	Human RPB4, DNA-directed RNA polymerase II 16 kDa polypeptide
Smp_074260.1	Growth arrest and DNA damage-inducible proteins-interacting protein 1	Phosphoglucomutase
Smp_074280.1	Chaperone protein ClpB 2	Protein DPY-30 homolog
Smp_074330.1	PEST proteolytic signal-containing nuclear protein	Fibrinogen gamma-B chain
Smp_074370.1	Pre-mRNA-processing factor 17	Platelet-activating factor acetylhydrolase IB alpha subunit
Smp_074390.1	Eukaryotic translation initiation factor 4E-binding protein 1	Eukaryotic translation initiation factor 4E- binding protein 1
Smp_074400.1	Ubiquitin carboxyl-terminal hydrolase 22	Ubiquitin carboxyl-terminal hydrolase 8
Smp_074410.1	UPF0769 protein C21orf59 homolog	Fibrinogen alpha chain
Smp_074450.1	N-acetyl-gamma-glutamyl-phosphate reductase	Dynein light chain 1
Smp_074450.2	N-acetyl-gamma-glutamyl-phosphate reductase	Dynein light chain 1
Smp_074450.3	N-acetyl-gamma-glutamyl-phosphate reductase	Dynein light chain 1
Smp_074460.1	tegument-allergen-like protein (TAL10)	Protein (epidermal growth factor receptor pathway substrate 15)
Smp_074470.1	40S ribosomal protein S23	RP37, S28, YS14, 40S ribosomal protein S23-A
Smp_074500.1	Proteasome subunit beta type-2	20S proteasome
Smp_074510.1	Guanine nucleotide-binding protein subunit alpha-13	GS-alpha
Smp_074560.1	Probable LRR receptor-like serine/threonine-protein kinase At3g47570	Uncharacterized protein
Smp_074560.2	hypothetical protein	Uncharacterized protein
Smp_074560.3	hypothetical protein	Uncharacterized protein
Smp_074570.1	Hypothetical protein	Formaldehyde-activating enzyme FAE
Smp_074570.2	Phosphoribosylformylglycinamidine synthase	Membrane fusion protein P15
Smp_074590.1	Valine--tRNA ligase	ACVR2B protein
Smp_074610.1	histone H3	Histone H3
Smp_074700.1	Translocon-associated protein subunit gamma	PLB, cardiac phospholamban
Smp_074700.2	Translocon-associated protein subunit gamma	PLB, cardiac phospholamban
Smp_074710.1	Differentially expressed in FDCP 8 homolog	RAF-1
Smp_074770.1	L-seryl-tRNA(Sec) kinase	L-seryl-tRNA(SEC) kinase
Smp_074780.1	40S ribosomal protein S18	40S ribosomal protein S18
Smp_074830.1	Tubulin polyglutamylase ttll6	Tubulin tyrosine ligase, TTL
Smp_074870.1	tRNA-splicing ligase RtcB homolog	PHO HYP2 intein, tRNA-splicing ligase RTCB
Smp_074880.1	RPII140-upstream gene protein	Capsid protein
Smp_074900.1	Docking protein 2	Docking protein 1
Smp_074930.1	Palmitoyltransferase ZDHHC2	Ring finger and CHY zinc finger domain- containing protein 1
Smp_074930.2	Palmitoyltransferase ZDHHC2	Ring finger and CHY zinc finger domain- containing protein 1
Smp_074940.1	Kynurenine formamidase	Kynurenine formamidase
Smp_074950.1	RWD domain-containing protein 4	RWD domain-containing protein 1
Smp_074990.1	RCC1 domain-containing protein 1	X-linked retinitis pigmentosa GTPase regulator
